T,0,1,2,3
7400.0,1.2200995530544866e-14,1.2393671290211067e-05,0.9996690871966778,0.00031851913201987747
7500.0,8.387544006483432e-15,9.8137445426165e-06,0.9994856526607842,0.0005045335946650264
7600.0,5.820095265412771e-15,7.81786757102196e-06,0.9992028259273898,0.0007893562050334329
7700.0,4.074962049326038e-15,6.263930517970323e-06,0.9987734516911154,0.001220284378362595
7800.0,2.8778334812107187e-15,5.046586819217391e-06,0.9981302614740931,0.0018646919390847715
7900.0,2.049340565037577e-15,4.0872079421839635e-06,0.9971785929018611,0.002817319890194547
8000.0,1.471070151277758e-15,3.326719268169596e-06,0.9957870835670248,0.004209589713705072
8100.0,1.0641270388740994e-15,2.720453884153909e-06,0.9937761570157314,0.006221122530382038
8200.0,7.754768302101346e-16,2.2344302478544782e-06,0.9909044042225033,0.009093361347244013
8300.0,5.691621438009612e-16,1.8426418608109849e-06,0.9868535251006901,0.013144632257437183
8400.0,4.2060094163522035e-16,1.5250713337809338e-06,0.9812134542872915,0.01878502064134187
8500.0,3.12852489643235e-16,1.2662266219318256e-06,0.9734707407070642,0.026527993066223082
8600.0,2.341509444481749e-16,1.0540563262595205e-06,0.9630051096408125,0.03699383630261772
8700.0,1.762628658284762e-16,8.79142153923685e-07,0.949100977776723,0.05089814308048826
8800.0,1.3337167797987141e-16,7.340577996275127e-07,0.9309784394167447,0.06902082652384947
8900.0,1.0138925945211193e-16,6.130749929385663e-07,0.90786747978375,0.09213190713732164
9000.0,7.735702787019166e-17,5.115728583714306e-07,0.8790827925743318,0.1209166958434809
9100.0,5.916496009889463e-17,4.2595725761237664e-07,0.8441452772505466,0.15585429677081644
9200.0,4.529308856576654e-17,3.534158680712498e-07,0.8028911903397736,0.1971084561970136
9300.0,3.464377982355391e-17,2.917614217356553e-07,0.755558837539944,0.24444087059731967
9400.0,2.6422841268567517e-17,2.393019638139178e-07,0.702827023500987,0.29717273698742225
9500.0,2.0053814172968625e-17,1.9472859983670327e-07,0.6457922339761247,0.3542075708754489
9600.0,1.511533529185198e-17,1.5701604996862307e-07,0.5858856226866384,0.41411421948223326
9700.0,1.1295196148055715e-17,1.2533568158474804e-07,0.5247433986285988,0.4752564744988772
9800.0,8.357078970297146e-18,9.898356715181897e-08,0.46405216174898745,0.535947736447534
9900.0,6.117235336414782e-18,7.732685282134896e-08,0.40539381202955477,0.5946061055978197
10000.0,4.428943002891288e-18,5.977030770255961e-08,0.3501134450082881,0.6498864863984765
10100.0,3.172771153649148e-18,4.5742057321754685e-08,0.2992284345914978,0.7007715045598493
10200.0,2.2511181097974005e-18,3.469752448047782e-08,0.2533978906248412,0.7466020493037289
10300.0,1.583427824776449e-18,2.611633501908513e-08,0.21289300247798595,0.787106929517435
10400.0,1.1059554449196987e-18,1.953479798232886e-08,0.1777041789364032,0.8222957334598872
10500.0,7.682708189587741e-19,1.454218267399068e-08,0.14757397347981707,0.8524259029400013
10600.0,5.316533557745231e-19,1.0789471844688469e-08,0.12208516836793112,0.8779146484465187
10700.0,3.6706561576980763e-19,7.989196258527858e-09,0.10073290066033934,0.8992668220258461
10800.0,2.5319825691266525e-19,5.910975098093415e-09,0.08298282354888065,0.9170167544010062
10900.0,1.7470465133800349e-19,4.3744044867260084e-09,0.06831276436063011,0.9316865948035764
11000.0,1.2070348363137858e-19,3.2408703790539443e-09,0.056238961023994415,0.9437600714994085
11100.0,8.357455904032073e-20,2.4054626295304088e-09,0.04632984694523813,0.9536687027603115
11200.0,5.803150024915038e-20,1.7896982130199146e-09,0.03821086376950607,0.9617869784115852
11300.0,4.043178845654836e-20,1.335370402372307e-09,0.03156345817754247,0.9684333552850174
11400.0,2.827692606500747e-20,9.99575255891795e-10,0.026120739901382414,0.9738745887172218
11500.0,1.985763378518511e-20,7.508172912691687e-10,0.02166155361043331,0.978331646564537
11600.0,1.4005805089467862e-20,5.660310386535337e-10,0.018004099211495653,0.981986070060111
11700.0,9.92300809073651e-21,4.2834187464282286e-10,0.014999769775084127,0.9849861108516176
11800.0,7.062830265426604e-21,3.2540341962089167e-10,0.012527555486133702,0.9874522939747707
11900.0,5.0505744844602336e-21,2.481738407853223e-10,0.010489156615641046,0.9894822614258657
12000.0,3.628614096290802e-21,1.9002057371281446e-10,0.008804826465427367,0.9911548724320849
12100.0,2.619258823247258e-21,1.4606781813057577e-10,0.007409899173395583,0.9925336018365247
12200.0,1.8995213023143747e-21,1.1272198773962932e-10,0.006251926551831515,0.9936693078202885
12300.0,1.3839534605691892e-21,8.7326864227695e-11,0.0052883384149688935,0.9946024488003103
12400.0,1.01295099945458e-21,6.79129534524081e-11,0.004484542726734836,0.9953648261470269
12500.0,7.44764630350005e-22,5.301512796588865e-11,0.003812389504102059,0.9959809201923245
12600.0,5.500274048371857e-22,4.153973664518474e-11,0.003248932273608034,0.9964688752909907
12700.0,4.079934121333453e-22,3.2667559394043894e-11,0.002775431060203133,0.996841177377415
12800.0,3.039434961888606e-22,2.578276334938935e-11,0.002376550395291181,0.9971050555135129
12900.0,2.2738917551120308e-22,2.0420750997622724e-11,0.002039714229283193,0.9972626278137425
13000.0,1.7082431780750408e-22,1.6229763159330047e-11,0.0017545868016300408,0.9973108020516902
13100.0,1.2885403981775194e-22,1.294252096286056e-11,0.0015126545012955934,0.9972409323036876
13200.0,9.758436226507988e-23,1.0355214490479098e-11,0.001306888663048254,0.9970382253118126
13300.0,7.419280586990988e-23,8.311883359792967e-12,0.0011314732371136868,0.9966808841432802
13400.0,5.662503966596662e-23,6.692766621485702e-12,0.0009815844897092861,0.996138972733097
13500.0,4.337969451930397e-23,5.4055838865988016e-12,0.0008532124756516026,0.9953729839434394
13600.0,3.335509065998019e-23,4.3789880493576476e-12,0.0007430160900968961,0.9943320972866356
13700.0,2.5739619796948194e-23,3.557632085025899e-12,0.0006482051546614871,0.9929521225202943
13800.0,1.9933031389102672e-23,2.8984394859028665e-12,0.0005664443064918635,0.9911531447875558
13900.0,1.5489684447459778e-23,2.3677752320072682e-12,0.0004957745048312282,0.9888369195068218
14000.0,1.2077473769225968e-23,1.939292746364652e-12,0.0004345488027280364,0.9858841151197131
14100.0,9.447985445091801e-24,1.5922899477266153e-12,0.00038137969534925544,0.9821515734665682
14200.0,7.414728502663029e-24,1.3104499717138278e-12,0.0003350958855698283,0.9774698542037076
14300.0,5.837197361634809e-24,1.0808734916188409e-12,0.00029470672952375585,0.9716414511720651
14400.0,4.6091600869182094e-24,8.933328060644604e-13,0.000259372961169275,0.9644402080882756
14500.0,3.6500207818964434e-24,7.396951308824108e-13,0.00022838256248067416,0.9556126003391942
14600.0,2.898426658656029e-24,6.134754075837162e-13,0.00020113085775055902,0.9448816555379148
14700.0,2.3075201427202734e-24,5.094885661805079e-13,0.0001771040769493343,0.9319543070261668
14800.0,1.8414008805221914e-24,4.235783934123241e-13,0.00015586576243033684,0.9165328479715946
14900.0,1.472480675724131e-24,3.5240557297544655e-13,0.00013704549261980562,0.89833081746781
15000.0,1.1794995220797346e-24,2.932815354968952e-13,0.00012032947244608003,0.8770930716183888
15100.0,9.460324574238307e-25,2.4403782109450894e-13,0.00010545260011121382,0.8526190024527837
15200.0,7.593616463783938e-25,2.0292297350854674e-13,9.219167073910441e-05,0.8247869844192489
15300.0,6.096207109547969e-25,1.6852075109397418e-13,8.035942671675593e-05,0.7935773546172874
15400.0,4.890646867763655e-25,1.3966948360250712e-13,6.979497708667932e-05,0.7590818557884245
15500.0,3.91897445199859e-25,1.1547376061319957e-13,6.0376473785841966e-05,0.7215497528964496
15600.0,3.13363883943736e-25,9.516020865004102e-14,5.198914117641802e-05,0.6813365343385033
15700.0,2.4982186899027027e-25,7.81141303001757e-14,4.454002849697854e-05,0.6389280109353453
15800.0,1.9840861409409326e-25,6.383171236584554e-14,3.794908317323012e-05,0.5949111111461564
15900.0,1.5685901100146448e-25,5.1896532213358714e-14,3.2145610467018304e-05,0.5499441424826201
16000.0,1.2336492597056477e-25,4.196057079691749e-14,2.7065254472565696e-05,0.504721011026862
16100.0,9.646745230380287e-26,3.372920881264935e-14,2.2647606719405207e-05,0.4599330039220124
16200.0,7.497578450525121e-26,2.6949748366617652e-14,1.8834514291122648e-05,0.4162319436280372
16300.0,5.790738007941228e-26,2.1402983845710966e-14,1.556910088663413e-05,0.37419821503055967
16400.0,4.4444699277579133e-26,1.6897288878823447e-14,1.279544420045472e-05,0.33431640517981537
16500.0,3.391079072312016e-26,1.3266487383070461e-14,1.0459706079754378e-05,0.296970968987952
16600.0,2.5719917532044976e-26,1.0359506597842481e-14,8.506913646423558e-06,0.26239738547688585
16700.0,1.940406049732583e-26,8.050668156537154e-15,6.887606228185238e-06,0.23075108647891224
16800.0,1.4569636853813418e-26,6.229802404644567e-15,5.554539794326127e-06,0.20207417589469262
16900.0,1.0894524122518205e-26,4.803143816697734e-15,4.464386325919179e-06,0.17632191683956006
17000.0,8.118147497924656e-27,3.6919347045756275e-15,3.578176149135122e-06,0.15338076413966037
17100.0,6.032313623378714e-27,2.830913640514676e-15,2.861506084506054e-06,0.1330868236313699
17200.0,4.4727231712643814e-27,2.166713929813023e-15,2.2845245108895155e-06,0.1152431003439941
17300.0,3.311236929266197e-27,1.6562358595504487e-15,1.8217317783910894e-06,0.0996344670474628
17400.0,2.4489987570964123e-27,1.265065158982595e-15,1.451647207373319e-06,0.08603982505977864
17500.0,1.810483715278731e-27,9.659996785425016e-16,1.1563949898407545e-06,0.07424136510142226
17600.0,1.3384814117346047e-27,7.3772688735268e-16,9.212547563634603e-07,0.06403113752201478
17700.0,9.899691961793165e-28,5.636739938170888e-16,7.342123272593637e-07,0.05521531353534648
17800.0,7.3278975158589975e-28,4.310347777455956e-16,5.855352326167045e-07,0.04761658724546357
